Year,Rank,Artist,Song,valence,danceability,energy,tempo
1960,4,johnny preston,running bear,,,,
1960,5,mark dinning,teen angel,0.33,0.447,0.182,95.094
1960,8,jimmy jones,handy man,0.852,0.505,0.683,146.71
1960,12,bobby rydell,wild one,0.913,0.613,0.737,147.902
1960,13,brothers four,greenfields,0.379,0.457,0.181,109.979
1960,14,jack scott,what in the worlds come over you,0.486,0.499,0.211,76.74
1960,16,hollywood argyles,alleyoop,,,,
1960,22,connie stevens,sixteen reasons,0.661,0.311,0.389,72.558
1960,25,ventures,walk dont run,0.96,0.423,0.88,155.968
1960,26,drifters,save the last dance for me,0.896,0.54,0.53,143.453
1960,27,brook benton  dinah washington,baby,,,,
1960,31,jimmy jones,good timin,0.96,0.599,0.589,145.171
1960,33,jimmy clanton,go jimmy go,0.875,0.502,0.731,137.36
1960,34,jackie wilson,night,0.325,0.222,0.383,101.473
1960,35,jack scott,burning bridges,0.255,0.448,0.288,82.656
1960,36,toni fisher,the big hurt,0.284,0.511,0.524,127.444
1960,37,duane eddy,because theyre young,0.965,0.678,0.777,120.568
1960,40,freddie cannon,way down yonder in new orleans,,,,
1960,41,anita bryant,paper roses,0.275,0.274,0.237,116.018
1960,42,larry verne,mr custer,0.0613,0.83,0.228,107.862
1960,44,fendermen,mule skinner blues,0.683,0.519,0.494,127.716
1960,45,johnny preston,cradle of love,0.804,0.593,0.589,87.703
1960,46,marv johnson,youve got what it takes,0.964,0.671,0.635,136.727
1960,48,ron holden,love you so,0.56,0.446,0.399,88.805
1960,49,hank ballard  midnighters,finger poppin time,0.686,0.491,0.591,78.009
1960,50,platters,harbor lights,0.244,0.246,0.283,83.178
1960,51,billy bland,let the little girl dance,0.965,0.585,0.527,143.418
1960,52,jeanne black,hell have to stay,0.36,0.45,0.0843,81.869
1960,53,ferrante  teicher,theme from the apartment,,,,
1960,54,bobby rydell,volare,0.863,0.506,0.661,129.615
1960,55,jimmy charles,a million to one,0.423,0.394,0.317,102.738
1960,56,andy williams,the village of st bernadette,0.24,0.278,0.198,86.667
1960,57,browns,the old lamplighter,0.553,0.604,0.105,92.238
1960,58,bill blacks combo,white silver sands,0.963,0.868,0.481,116.66
1960,60,four preps,down by the station,0.971,0.754,0.442,118.641
1960,61,little dippers,forever,0.367,0.504,0.286,74.219
1960,62,safaris  phantoms band,image of a girl,,,,
1960,63,brook benton,kiddio,0.713,0.796,0.258,112.356
1960,64,donnie brooks,mission bell,0.853,0.588,0.504,80.27
1960,65,marv johnson,i love the way you love,0.897,0.742,0.778,134.807
1960,74,bobby rydell,swingin school,0.967,0.528,0.756,150.364
1960,75,dinah washington  brook benton,a rockin good way,,,,
1960,77,paul anka,my home town,0.97,0.698,0.512,117.453
1960,78,ray charles,georgia on my mind,0.255,0.282,0.247,112.146
1960,79,skip  flip,cherry pie,0.475,0.469,0.255,86.039
1960,81,spencer ross,tracys theme,,,,
1960,82,lloyd price,lady luck,0.822,0.566,0.742,122.893
1960,83,crests,step by step,0.896,0.283,0.7,200.632
1960,84,paul evans,happygolucky me,,,,
1960,85,ricky nelson,young emotions,,,,
1960,88,annette,o dio mio,,,,
1960,89,joe jones,you talk too much,0.727,0.719,0.639,128.272
1960,90,johnny  hurricanes,beatnik fly,,,,
1960,91,everly brothers,when will i be loved,0.812,0.521,0.712,118.029
1960,92,bob luman,lets think about livin,,,,
1960,94,anita bryant,in my little corner of the world,0.404,0.483,0.321,107.728
1960,96,bobby rydell,little bitty girl,0.82,0.623,0.619,121.284
1960,97,barret strong,money,,,,
1960,98,maurice williams,stay,,,,
1960,100,larry hall,sandy,0.628,0.359,0.414,158.741
1961,2,patsy cline,i fall to pieces,,,,
1961,3,highwaymen,michael,0.631,0.525,0.121,107.408
1961,4,roy orbison,cryin,,,,
1961,6,jive five,my true story,0.623,0.354,0.437,184.518
1961,8,stringalongs,wheels,0.869,0.787,0.623,128.327
1961,10,joe dowell,wooden heart,0.858,0.595,0.174,83.015
1961,11,lawrence welk,calcutta,0.884,0.376,0.629,81.677
1961,15,markeys,last night,0.827,0.698,0.585,126.394
1961,16,shirelles,tomorrow,,,,
1961,17,ferrante  teicher,exodus,,,,
1961,19,ray charles,hit the road jack,0.945,0.606,0.661,172.897
1961,21,ernie kdoe,motherinlaw,,,,
1961,22,dovells,bristol stomp,0.9,0.655,0.77,105.394
1961,24,miracles,shop around,0.896,0.556,0.701,132.172
1961,25,brook benton,the boll weevil song,0.911,0.795,0.144,139.888
1961,27,dick  deedee,the mountains high,,,,
1961,30,steve lawrence,portrait op my love,,,,
1961,31,gary,quarter to three,,,,
1961,32,barry mann,who put the bomp,0.841,0.512,0.667,86.13
1961,35,jrgen ingmann,apache,0.248,0.644,0.492,129.089
1961,36,linda scott,dont bet money honey,0.649,0.248,0.836,201.17
1961,37,johnny tillotson,without you,0.753,0.297,0.58,198.691
1961,40,marcels,blue moon,0.935,0.624,0.432,127.69
1961,41,shep  limelites,daddys home,0.338,0.478,0.254,146.629
1961,43,clarence frog man henry,i dont know why but i do,,,,
1961,44,kokomo,asia minor,0.931,0.459,0.534,202.954
1961,50,capris,theres a moon out tonight,0.619,0.325,0.382,201.924
1961,52,paris sisters,i love how you love me,0.453,0.384,0.452,84.857
1961,54,gary,school is out,,,,
1961,55,bob moore,mexico,,,,
1961,56,ral donner,you dont know what youve got,0.599,0.662,0.393,130.725
1961,58,lettermen,the way you look tonight,,,,
1961,60,ray charles,one mint julep,,,,
1961,61,adam wade,take good care of her,0.394,0.219,0.328,80.442
1961,62,carla thomas,gee whiz,,,,
1961,66,echoes,baby blue,0.727,0.5,0.373,132.368
1961,67,buzz clifford,baby sittin boogie,,,,
1961,69,caesar  romans,those oldies but goodies,,,,
1961,72,bert kaempfert  his orch,wonderland by night,,,,
1961,73,tony orlando,bless you,0.811,0.491,0.458,125.619
1961,74,linda scott,ive told every little star,0.942,0.677,0.621,118.349
1961,77,curtis lee,pretty little angel eyes,,,,
1961,78,brook benton,think twice,0.302,0.449,0.195,80.573
1961,79,lonnie donegan,does your chewing gum lose its flavor,,,,
1961,81,shirelles,mama said,0.935,0.669,0.64,140.317
1961,82,fats domino,let the four winds blow,,,,
1961,83,adam wade,the writing on the wall,0.629,0.666,0.522,120.898
1961,84,matt monroe,my kind of girl,,,,
1961,85,paul anka,tonight my love tonight,0.884,0.545,0.66,125.069
1961,87,bobby rydell,good time baby,0.854,0.506,0.844,168.78
1961,90,ray peterson,missing you,0.372,0.545,0.266,90.504
1961,92,eddie hodges,im gonna knock on your door,0.991,0.767,0.87,126.293
1961,98,four preps,more money for you and me medley,,,,
1961,99,bobby darin,you must have been a beautiful baby,0.974,0.707,0.549,134.563
1961,100,drifters,please stay,,,,
1962,1,mr acker bilk,stranger on the shore,,,,
1962,5,david rose,the stripper,,,,
1962,6,shelley fabares,johnny angel,0.761,0.402,0.37,107.144
1962,8,sensations,let me in,0.837,0.61,0.848,130.446
1962,10,shirelles,soldier boy,0.622,0.569,0.198,97.595
1962,11,bruce channel,hey baby,,,,
1962,14,freddy cannon,palisades park,0.952,0.504,0.807,166.103
1962,18,johnny tillotson,it keeps right on ahurtin,0.546,0.452,0.303,100.858
1962,21,kenny ball,midnight in moscow,0.915,0.53,0.402,166.266
1962,24,orlons,wahwatusi,,,,
1962,25,joey dee  starlighters,peppermint twist,,,,
1962,27,marvelettes,playboy,0.939,0.867,0.702,123.842
1962,32,gary us bonds,dear lady twist,0.932,0.442,0.953,138.442
1962,34,ketty lester,love letters,0.271,0.567,0.218,64.412
1962,35,claudine clark,party lights,0.701,0.645,0.6,135.593
1962,36,highwaymen,cotton fields,0.6,0.732,0.292,135.188
1962,37,bent fabric,alley cat,,,,
1962,40,ace cannon,tuff,0.215,0.409,0.02,68.93
1962,41,clyde mcphatter,lover please,0.961,0.714,0.763,84.374
1962,42,barbara george,i know,0.902,0.858,0.41,124.1
1962,43,rick nelson,young world,,,,
1962,44,shirelles,baby its you,0.728,0.646,0.336,113.526
1962,46,burl ives,a little bitty tear,0.856,0.461,0.279,143.211
1962,48,emillo pericoli,al di la,,,,
1962,50,don  juan,whats your name,0.795,0.55,0.38,99.789
1962,51,corsairs,smoky places,0.738,0.605,0.483,124.197
1962,54,ray charles,you dont know me,,,,
1962,55,four seasons,sherry,,,,
1962,58,joey dee,shout,,,,
1962,63,gene pitney,the man who shot liberty valance,,,,
1962,64,duprees,you belong to me,0.378,0.322,0.36,97.63
1962,65,roy orbison,dream baby,0.841,0.456,0.554,154.661
1962,66,joe henderson,snap your fingers,,,,
1962,69,johnny crawford,cindys birthday,0.708,0.61,0.316,110.0
1962,70,mary wells,you beat me to the punch,,,,
1962,72,crystals,uptown,0.785,0.665,0.699,112.623
1962,73,brenda lee,everybody loves me but you,0.494,0.661,0.122,107.022
1962,74,dickie lee,patches,0.526,0.406,0.254,102.754
1962,75,jimmy clanton,venus in blue jeans,,,,
1962,76,paul anka,love me warm and tender,0.796,0.628,0.611,108.872
1962,77,rick nelson,teen age idol,,,,
1962,78,patsy cline,shes got you,,,,
1962,79,larry finnegan,dear one,0.748,0.367,0.896,180.644
1962,81,walter brennan,old rivers,,,,
1962,82,burl ives,funny way of laughin,0.614,0.555,0.437,146.517
1962,83,billy vaughn,a swingin safari,0.774,0.536,0.409,76.611
1962,84,dick  deedee,tell me,,,,
1962,87,billy joe  checkmates,percolator,0.801,0.701,0.53,150.464
1962,88,gary us bonds,twist twist senora,0.877,0.504,0.815,186.68
1962,89,jimmy soul,twistin matilda,0.847,0.535,0.775,141.424
1962,91,jimmy smith,walk on the wild side,0.504,0.379,0.417,69.016
1962,94,ikettes,im blue,0.964,0.571,0.525,109.87
1962,95,kingston trio,where have all the flowers gone,0.574,0.623,0.14,130.884
1962,96,eddie hodges,were made to love,,,,
1962,99,ronnie  hilites,i wish that we were married,0.217,0.528,0.34,100.564
1962,100,beach boys,surfin safari,,,,
1963,2,beach boys,surfin usa,,,,
1963,4,cascades,rhythm of the rain,0.672,0.659,0.66,116.634
1963,5,chiffons,hes so fine,0.93,0.428,0.463,144.947
1963,7,paul  paula,hey paula,0.58,0.478,0.336,108.975
1963,8,little stevie wonder,fingertips ii,,,,
1963,9,village stompers,washington square,0.774,0.778,0.269,120.112
1963,10,impressions,its all right,0.751,0.698,0.418,108.633
1963,12,angels,my boyfriends back,0.971,0.691,0.563,136.013
1963,15,tymes,so much in love,0.475,0.537,0.493,75.576
1963,16,peter paul  mary,puff,,,,
1963,18,dale  grace,im leaving it up to you,0.723,0.528,0.429,104.766
1963,22,rebels,wild weekend,0.879,0.554,0.65,123.583
1963,24,four seasons,walk like a man,,,,
1963,25,inez foxx,mockingbird,0.775,0.858,0.465,118.062
1963,27,chantays,pipeline,0.805,0.444,0.552,152.575
1963,30,eydie gorme,blame it on the bossa nova,0.848,0.681,0.442,80.171
1963,31,dovells,you cant sit down,0.963,0.613,0.875,82.071
1963,32,martha  vandellas,heat wave,,,,
1963,33,randy  rainbows,denise,0.901,0.532,0.797,125.446
1963,34,rooftop singers,walk right in,0.965,0.681,0.66,130.019
1963,36,beach boys,surfer girl,,,,
1963,37,trini lopez,if i had a hammer,0.867,0.468,0.933,85.505
1963,39,essex,easier said than done,,,,
1963,42,ruby  romantics,our day will come,,,,
1963,43,skeeter davis,i cant stay mad at you,0.816,0.543,0.763,120.62
1963,45,ronettes,be my baby,0.818,0.511,0.769,129.657
1963,46,roy orbison,mean woman blues,0.69,0.325,0.789,165.972
1963,47,orlons,south street,0.713,0.543,0.318,186.595
1963,49,major lance,the monkey time,0.94,0.777,0.541,124.184
1963,50,four seasons,candy girl,,,,
1963,51,bill anderson,still,0.301,0.515,0.131,94.043
1963,55,ray charles,busted,,,,
1963,56,crystals,da doo ron ron,0.613,0.535,0.797,148.835
1963,57,shirelles,foolish little girl,0.922,0.739,0.743,111.07
1963,58,lonnie mack,memphis,0.971,0.521,0.774,100.954
1963,60,kal winding,more,,,,
1963,61,rick nelson,fools rush in,,,,
1963,63,bill pursell,our winter love,0.306,0.434,0.149,76.455
1963,65,miracles,youve really got a hold on me,0.566,0.679,0.441,118.444
1963,66,jaynetts,sally go round the roses,0.457,0.694,0.453,146.6
1963,68,crystals,then he kissed me,0.633,0.431,0.678,135.919
1963,73,rufus thomas,walking the dog,,,,
1963,74,ned miller,from a jack to a king,0.833,0.627,0.44,99.223
1963,75,drifters,up on the roof,0.777,0.584,0.489,121.891
1963,76,johnny mathis,what will my mary say,0.309,0.235,0.452,107.0
1963,77,jan bradley,mama didnt lie,0.931,0.741,0.595,124.675
1963,79,cookies,dont say nothin bad about my baby,,,,
1963,82,allan sherman,hello muddah hello fadduh,0.626,0.619,0.409,115.591
1963,84,roll harris,tie me kangaroo down sport,,,,
1963,85,miracles,mickeys monkey,,,,
1963,87,nat king cole,that sunday that summer,0.462,0.249,0.46,82.495
1963,89,al martino,painted tainted rose,0.394,0.228,0.417,103.529
1963,90,dixiebelles with cornbread  jerry,papa joes,,,,
1963,91,steve lawrence,go away little girl,0.67,0.399,0.307,108.028
1963,92,ray charles,take these chains from my heart,0.473,0.4,0.179,102.159
1963,93,sunny  sunglows,talk to me,0.672,0.482,0.489,122.035
1963,94,martha  vandellas,come and get these memories,,,,
1963,97,beach boys,shut down,0.971,0.584,0.72,159.337
1963,98,chiffons,one fine day,0.896,0.486,0.552,89.574
1964,1,beatles,i want to hold your hand,,,,
1964,2,beatles,she loves you,,,,
1964,5,beach boys,i get around,0.514,0.39,0.625,144.338
1964,9,j frank wilson  cavaliers,last kiss,,,,
1964,10,supremes,where did our love go,0.847,0.566,0.49,134.934
1964,11,barbara streissand,people,,,,
1964,13,beatles,a hard days night,,,,
1964,14,beatles,love me do,,,,
1964,16,beatles,please please me,,,,
1964,17,martha  vandellas,dancing in the street,,,,
1964,18,billy j kramer  dakotas,little children,,,,
1964,20,drifters,under the boardwalk,,,,
1964,21,dixie cups,chapel of love,,,,
1964,23,dave clark five,glad all over,,,,
1964,24,four seasons,rag doll,,,,
1964,25,four seasons,dawn,,,,
1964,28,jan  dean,dead mans curve,,,,
1964,30,peter  gordon,a world without love,,,,
1964,31,honeycombs,have i the right,0.527,0.368,0.891,142.216
1964,32,serendipity singers,dont let the rain come down,0.661,0.786,0.383,128.9605
1964,33,supremes,baby love,,,,
1964,34,betty everett  jerry butler,let it be me,,,,
1964,38,animals,the house of the rising sun,,,,
1964,39,ronny  daytona,gto,,,,
1964,40,beatles,twist and shout,,,,
1964,41,johnny rivers,memphis,,,,
1964,42,danny williams,white on white,,,,
1964,43,rip chords,hey little cobra,0.906,0.57,0.79,156.698
1964,45,dave clark five,bits and pieces,,,,
1964,47,major lance,um um um um um um,,,,
1964,49,gerry  pacemakers,dont let the sun catch you crying,,,,
1964,51,stan getz  astrud gilberto,the girl from ipanema,,,,
1964,52,beatles,cant buy me love,,,,
1964,53,shangrilas,remember,,,,
1964,54,bobby freeman,cmon and swim,,,,
1964,55,beatles,do you want to know a secret,,,,
1964,56,impressions,keep on pushing,,,,
1964,58,diane renay,navy blue,,,,
1964,59,bachelors,diane,0.395,0.401,0.426,129.86
1964,60,marketts,out of limits,,,,
1964,61,hondells,little honda,,,,
1964,62,bobby goldsboro,see the funny little clown,,,,
1964,63,dave clark five,because,,,,
1964,64,reflections,romeo and juliet,,,,
1964,65,rick nelson,for you,,,,
1964,66,new christy minstrels,today,,,,
1964,67,dave clark five,cant you see that shes mine,,,,
1964,68,shangrilas,leader of the pack,0.313,0.423,0.55,119.702
1964,69,joe hinton,funny,,,,
1964,70,temptations,the way you do the things you do,,,,
1964,72,al martino,i love you more and more every day,,,,
1964,74,four seasons,ronnie,,,,
1964,75,trashmen,surfin bird,0.8394999999999999,0.5754999999999999,0.9635,100.235
1964,76,tams,what kind of fool,,,,
1964,78,kinks,you really got me,0.963,0.573,0.939,137.382
1964,80,impressions,im so proud,,,,
1964,81,jelly beans,i wanna love him so bad,,,,
1964,86,kingsmen,money,,,,
1964,87,searchers,dont throw your love away,,,,
1964,88,tommy tucker,hiheel sneakers,,,,
1964,89,gerry  pacemakers,how do you do it,,,,
1964,91,dave clark five,do you love me,,,,
1964,92,robert maxwell his harp  orch,shangrila,,,,
1964,93,gene simmons,haunted houses,,,,
1964,94,jimmy hughes,steal away,,,,
1964,95,beatles,i saw her standing there,,,,
1964,97,billy j kramer  dakotas,bad to me,,,,
1964,100,searchers,needles and pins,,,,
1965,3,rolling stones,satisfaction,,,,
1965,4,we five,you were on my mind,0.638,0.533,0.533,140.494
1965,5,righteous brothers,youve lost that lovin feelin,0.398,0.366,0.317,94.108
1965,7,beatles,help,,,,
1965,10,temptations,my girl,0.673,0.579,0.419,104.564
1965,11,beach boys,help me rhonda,,,,
1965,13,jewel aikens,the birds and the bees,,,,
1965,18,ramsey lewis trio,the in crowd,,,,
1965,20,supremes,stop in the name of love,0.503,0.612,0.444,114.961
1965,21,righteous brothers,unchained melody,0.26749999999999996,0.35750000000000004,0.20350000000000001,98.755
1965,23,seekers,ill never find another you,,,,
1965,25,byrds,mr tambourine man,0.639,0.456,0.47,120.336
1965,30,mccoys,hang on sloopy,0.948,0.756,0.5640000000000001,115.0755
1965,31,beatles,ticket to ride,,,,
1965,32,bert kaempfert  his orch,red roses for a blue lady,,,,
1965,33,james brown  famous flames,papas got a brand new bag,,,,
1965,34,wayne fontana  mindbenders,game of love,,,,
1965,36,petula clark,i know a place,0.584,0.492,0.76,137.632
1965,37,supremes,back in my arms again,,,,
1965,39,kingsmen,the jolly green giant,,,,
1965,42,freddie  dreamers,im telling you now,,,,
1965,43,gerry  pacemakers,ferry cross the mersey,,,,
1965,44,righteous brothers,just once in my life,,,,
1965,45,johnny rivers,seventh son,,,,
1965,46,hermans hermits,im henry viii i am,,,,
1965,48,yardbirds,for your love,0.61,0.347,0.638,94.506
1965,49,beach boys,california girls,,,,
1965,50,moody blues,go now,0.693,0.343,0.522,119.911
1965,53,glenn yarbrough,baby the rain must fall,,,,
1965,54,dave clark five,catch us if you can,,,,
1965,55,beatles,eight days a week,,,,
1965,56,beau brummels,just a little,,,,
1965,57,ian whitcomb,you turn me on,,,,
1965,58,marvin gaye,ill be doggone,,,,
1965,60,kinks,tired of waiting for you,,,,
1965,62,kinks,all day and all of the night,0.6214999999999999,0.552,0.9359999999999999,136.94799999999998
1965,65,sir douglas quintet,shes about a mover,,,,
1965,68,martha  vandellas,nowhere to run,,,,
1965,69,yardbirds,heart full of soul,,,,
1965,70,searchers,love potion number nine,,,,
1965,71,dickle lee,laurie,,,,
1965,73,turtles,it aint me babe,,,,
1965,74,zombies,tell her no,,,,
1965,75,peter  gordon,i go to pieces,,,,
1965,76,vic dana,red roses for a blue lady,0.475,0.353,0.362,110.045
1965,78,miracles,the tracks of my tears,,,,
1965,79,brenda lee,too many rivers,,,,
1965,80,dave clark five,i like it like that,,,,
1965,81,bobby goldsboro,little things,,,,
1965,82,peter  gordon,true love ways,,,,
1965,84,fortunes,youve got your troubles,,,,
1965,85,joe tex,hold what youve got,,,,
1965,86,animals,we gotta get out of this place,,,,
1965,87,beau brummels,laugh laugh,,,,
1965,88,rolling stones,the last time,,,,
1965,89,lovin spoonful,do you believe in magic,,,,
1965,92,strangeloves,i want candy,,,,
1965,93,miracles,ooo baby baby,,,,
1965,94,sonny,laugh at me,,,,
1965,95,roy head,treat her right,,,,
1965,97,dino desi  billy,im a fool,,,,
1965,98,ad libs,the boy from new york city,,,,
1966,2,association,cherish,,,,
1966,3,righteous brothers,soul and inspiration,0.246,0.17,0.387,187.468
1966,6,monkees,last train to clarksville,,,,
1966,7,mamas  papas,monday monday,,,,
1966,8,supremes,you cant hurry love,,,,
1966,9,johnny rivers,poor side of town,,,,
1966,10,mamas  papas,california dreamin,,,,
1966,11,lovin spoonful,summer in the city,,,,
1966,12,roger williams,born free,,,,
1966,16,beatles,we can work it out,,,,
1966,17,young rascals,good lovin,,,,
1966,18,new vaudeville band,winchester cathedral,0.927,0.846,0.414,122.54
1966,19,tommy james  shondells,hanky panky,,,,
1966,21,rolling stones,paint it black,0.768,0.496,0.859,159.694
1966,22,petula clark,my love,0.509,0.316,0.839,169.906
1966,23,lou christie,lightin strikes,,,,
1966,24,troggs,wild thing,0.761,0.453,0.658,203.871
1966,28,beatles,paperback writer,,,,
1966,29,happenings,see you in september,,,,
1966,30,supremes,you keep me hangin on,0.845,0.682,0.612,127.647
1966,31,sam sham  pharaohs,lil red riding hood,0.528,0.712,0.412,122.211
1966,32,mitch ryder  detroit wheels,devil with a blue dress on and good golly miss molly,,,,
1966,33,beach boys,good vibrations,0.331,0.398,0.413,133.574
1966,34,mindbenders,a groovy kind of love,,,,
1966,37,sandy posey,born a woman,0.969,0.853,0.414,116.448
1966,38,cyrkle,red rubber ball,,,,
1966,40,left banke,walk away renee,,,,
1966,41,lovin spoonful,daydream,,,,
1966,42,outsiders,time wont let me,,,,
1966,43,tommy roe,hooray for hazel,,,,
1966,45,hollies,bus stop,0.787,0.601,0.698,136.263
1966,47,bj thomas  triumphs,im so lonesome i could cry,,,,
1966,48,temptations,aint too proud to beg,,,,
1966,49,standells,dirty water,,,,
1966,52,ray charles,crying time,,,,
1966,55,peter  gordon,lady godiva,,,,
1966,57,lovin spoonful,did you ever have to make up your mind,,,,
1966,61,beach boys,sloop john b,,,,
1966,62,rolling stones,th nervous breakdown,,,,
1966,65,temptations,beauty is only skin deep,,,,
1966,66,tbones,no matter what shape,,,,
1966,68,deon jackson,love makes the world go round,,,,
1966,70,brenda lee,coming on strong,,,,
1966,71,ray conniff  singers,somewhere my love,,,,
1966,73,bobby darin,if i were a carpenter,,,,
1966,74,marvelettes,dont mess with bill,,,,
1966,77,dionne warwick,message to michael,,,,
1966,79,beach boys,barbara ann,0.82,0.537,0.54,77.817
1966,80,shadows of knight,gloria,,,,
1966,81,supremes,my world is empty without you,,,,
1966,82,bob dylan,rainy day women  and,,,,
1966,83,sandpipers,guantanamera,0.648,0.318,0.257,205.852
1966,85,shades of blue,oh how happy,,,,
1966,86,peter  gordon,woman,,,,
1966,87,turtles,you baby,,,,
1966,88,vogues,five oclock world,,,,
1966,90,beatles,nowhere man,,,,
1966,92,slim harpo,baby scratch my back,,,,
1966,93,gary lewis  playboys,shes just my style,,,,
1966,95,bobby fuller four,i fought the law,,,,
1966,96,beatles,yellow submarine,,,,
1966,97,paul revere  raiders,hungry,,,,
1966,99,yardbirds,shapes of things,0.38,0.432,0.823,132.212
1967,2,box tops,the letter,0.901,0.638,0.428,139.434
1967,3,bobby gentry,ode to billie joe,,,,
1967,4,association,windy,,,,
1967,5,monkees,im a believer,,,,
1967,6,doors,light my fire,,,,
1967,7,nancy sinatra  frank sinatra,somethin stupid,,,,
1967,8,turtles,happy together,0.588,0.584,0.367,120.175
1967,9,young rascals,groovin,0.678,0.605,0.455,106.825
1967,11,music explosion,little bit o soul,,,,
1967,15,bobby vee  strangers,come back when you grow up,,,,
1967,16,buckinghams,kind of a drag,,,,
1967,18,soul survivors,expressway to your heart,,,,
1967,20,association,never my love,,,,
1967,22,every mothers son,come on down to my boat,,,,
1967,24,rolling stones,ruby tuesday,,,,
1967,25,vicki carr,it must be him,,,,
1967,28,supremes,love is here and now youre gone,,,,
1967,29,supremes,the happening,0.832,0.344,0.745,172.124
1967,30,beatles,all you need is love,,,,
1967,32,marvin gaye  tammi terrell,your precious love,,,,
1967,34,esquires,get on up,,,,
1967,36,martha  vandella,jimmy mack,,,,
1967,37,happenings,i got rhythm,,,,
1967,38,procol harum,a whiter shade of pale,,,,
1967,39,buckinghams,dont you care,,,,
1967,40,casinos,then you can tell me goodbye,,,,
1967,42,hollies,on a carousel,0.698,0.588,0.562,121.312
1967,45,tremeloes,silence is golden,0.582,0.436,0.565,112.169
1967,46,ed ames,my cup runneth over,,,,
1967,47,fifth dimension,up up and away,,,,
1967,49,cowsills,the rain the park and other things,0.691,0.376,0.662,131.582
1967,51,buckinghams,mercy mercy mercy,,,,
1967,53,jackie wilson,higher and higher,,,,
1967,54,young rascals,ive been lonely too long,,,,
1967,55,beatles,penny lane,,,,
1967,56,temptations,youre my everything,,,,
